onset	duration	trial_type
0.017940	2.276446	fixation
2.294386	1.955599	opponent
4.249985	3.199377	offer_start
7.449362	0.983882	offer_made
8.433245	2.499544	accepted
10.932789	1.207701	fixation
12.140489	1.405048	opponent
13.545537	2.365863	offer_start
15.911400	0.534174	offer_made
16.445575	2.049681	accepted
18.495255	1.432347	fixation
19.927602	1.800813	opponent
21.728415	2.332619	offer_start
24.061034	0.801947	offer_made
24.862980	2.886159	rejected
27.749140	2.395178	fixation
30.144318	1.170846	opponent
31.315164	1.965945	offer_start
33.281109	0.934230	offer_made
34.215339	2.500622	accepted
36.715960	1.782308	fixation
38.498268	1.799934	opponent
40.298201	2.582739	offer_start
42.880940	0.601253	offer_made
43.482194	2.415662	accepted
45.897856	2.476600	fixation
48.374455	1.606700	opponent
49.981156	2.216791	offer_start
52.197947	0.850836	offer_made
53.048783	2.515396	accepted
55.564179	1.658685	fixation
57.222865	1.141631	opponent
58.364495	1.832369	offer_start
60.196864	0.833938	offer_made
61.030802	2.829273	accepted
63.860074	2.006852	fixation
65.866926	1.326342	opponent
67.193268	2.598083	offer_start
69.791351	0.685207	offer_made
70.476558	2.733046	rejected
73.209604	1.411445	fixation
74.621049	1.656301	opponent
76.277350	3.018881	offer_start
79.296231	0.883732	offer_made
80.179963	2.099691	accepted
82.279654	1.311558	fixation
83.591212	1.572575	opponent
85.163787	2.481961	offer_start
87.645748	0.517367	offer_made
88.163115	2.832822	accepted
90.995937	0.575746	fixation
91.571683	1.840955	opponent
93.412638	5.015876	offer_start
98.428515	0.833930	offer_made
99.262445	2.216491	rejected
101.478936	1.677656	fixation
103.156591	1.105832	opponent
104.262423	2.499805	offer_start
106.762228	0.783429	offer_made
107.545657	2.049569	accepted
109.595226	0.855187	fixation
110.450413	0.994639	opponent
111.445052	4.778663	offer_start
116.223716	0.900862	offer_made
117.124577	2.516491	rejected
119.641068	2.290225	fixation
121.931294	1.059417	opponent
122.990711	4.033731	offer_start
127.024442	0.553467	offer_made
127.577909	2.133993	accepted
129.711903	1.678687	fixation
131.390589	0.986911	opponent
132.377500	2.882639	offer_start
135.260139	0.918255	offer_made
136.178394	2.982325	accepted
139.160719	1.577633	fixation
140.738352	1.255533	opponent
141.993885	1.715783	offer_start
143.709668	0.750924	offer_made
144.460592	2.749612	accepted
147.210204	0.696789	fixation
147.906993	1.636589	opponent
149.543583	1.617342	offer_start
151.160924	0.582873	offer_made
151.743798	2.582800	accepted
154.326597	1.425719	fixation
155.752317	1.924430	opponent
157.676747	2.463251	offer_start
160.139998	0.703160	offer_made
160.843157	2.512542	accepted
163.355699	1.646404	fixation
165.002103	1.653455	opponent
166.655558	2.049296	offer_start
168.704854	0.617616	offer_made
169.322471	2.866194	accepted
172.188665	1.346281	fixation
173.534946	1.086964	opponent
174.621910	2.164429	offer_start
176.786339	0.636839	offer_made
177.423178	2.835798	accepted
180.258976	1.381244	fixation
181.640220	1.368720	opponent
183.008940	2.216470	offer_start
185.225410	0.566645	offer_made
185.792055	2.083255	accepted
187.875310	1.395747	fixation
189.271057	1.237320	opponent
190.508377	1.499103	offer_start
192.007480	0.700994	offer_made
192.708474	2.483273	accepted
195.191747	1.958814	fixation
197.150561	1.224126	opponent
198.374687	2.615824	offer_start
200.990511	0.534288	offer_made
201.524799	1.999970	accepted
203.524769	1.012136	fixation
204.536905	0.988628	opponent
205.525533	1.448089	offer_start
206.973622	0.567559	offer_made
207.541181	2.166414	accepted
209.707595	0.823272	fixation
210.530868	1.560369	opponent
212.091236	3.028506	offer_start
215.119742	0.967313	offer_made
216.087055	2.466312	accepted
218.553368	1.305550	fixation
219.858918	1.494338	opponent
221.353255	2.095036	offer_start
223.448291	0.521744	offer_made
223.970035	2.167453	rejected
226.137488	0.614898	fixation
226.752386	1.937769	opponent
228.690156	2.048395	offer_start
230.738551	0.968370	offer_made
231.706921	1.999639	rejected
233.706560	1.907501	fixation
235.614061	1.692309	opponent
237.306370	3.215952	offer_start
240.522322	0.767699	offer_made
241.290021	2.766956	accepted
244.056977	1.007794	fixation
245.064771	1.357864	opponent
246.422635	3.001600	offer_start
249.424235	0.915111	offer_made
250.339346	2.316522	accepted
252.655868	1.783416	fixation
254.439284	1.883274	opponent
256.322558	2.516316	offer_start
258.838874	0.783669	offer_made
259.622543	2.849586	accepted
262.472129	1.427641	fixation
263.899770	1.884979	opponent
265.784749	1.105591	offer_start
266.890340	0.744706	offer_made
267.635045	2.166176	rejected
269.801221	1.227523	fixation
271.028745	1.155684	opponent
272.184429	2.215976	offer_start
274.400404	0.702147	offer_made
275.102551	2.032846	rejected
277.135397	1.664554	fixation
278.799950	1.254597	opponent
280.054547	2.283409	offer_start
282.337956	0.616670	offer_made
282.954626	2.949748	accepted
285.904374	2.433296	fixation
288.337670	1.800059	opponent
290.137729	2.866363	offer_start
293.004092	0.583555	offer_made
293.587647	2.183085	accepted
295.770732	0.557508	fixation
296.328240	1.293005	opponent
297.621245	2.731995	offer_start
300.353240	0.800756	offer_made
301.153995	2.433098	accepted
303.587093	1.130288	fixation
304.717381	1.486092	opponent
306.203473	3.616346	offer_start
309.819819	0.867212	offer_made
310.687031	2.728969	accepted
313.416000	1.853717	fixation
315.269716	1.096159	opponent
316.365875	2.265867	offer_start
318.631742	0.667527	offer_made
319.299269	2.133103	accepted
321.432372	0.951407	fixation
322.383779	1.648480	opponent
324.032259	2.933840	offer_start
326.966098	0.841166	offer_made
327.807265	1.995229	accepted
329.802493	1.620683	fixation
331.423177	1.245848	opponent
332.669024	3.549175	offer_start
336.218199	0.950782	offer_made
337.168981	2.016523	accepted
339.185504	1.877768	fixation
341.063272	1.821940	opponent
342.885212	3.449452	offer_start
346.334664	0.517451	offer_made
346.852115	2.566299	rejected
349.418414	1.924404	fixation
351.342818	1.708656	opponent
353.051474	1.866039	offer_start
354.917513	0.850749	offer_made
355.768262	2.566586	accepted
358.334848	0.780600	fixation
359.115448	1.036715	opponent
360.152163	3.411091	offer_start
363.563254	0.634128	offer_made
364.197381	2.949792	accepted
367.147174	0.911741	fixation
368.058915	1.154794	opponent
369.213709	3.465862	offer_start
372.679571	0.950808	offer_made
373.630379	2.267534	accepted
375.897914	0.844603	fixation
376.742516	1.374643	opponent
378.117159	1.566094	offer_start
379.683253	0.550708	offer_made
380.233961	2.083004	accepted
382.316965	1.778681	fixation
384.095646	0.987932	opponent
385.083578	2.691928	offer_start
387.775506	0.874814	offer_made
388.650320	2.432907	rejected
391.083227	1.680627	fixation
392.763854	1.035994	opponent
393.799848	2.983091	offer_start
396.782940	0.816904	offer_made
397.599843	2.833837	accepted
400.433681	2.510302	fixation
402.943983	1.821971	opponent
404.765954	3.773072	offer_start
408.539026	0.626909	offer_made
409.165935	2.233171	accepted
411.399106	2.458163	fixation
413.857269	1.604407	opponent
415.461676	2.382566	offer_start
417.844242	0.584191	offer_made
418.428433	2.249951	accepted
420.678384	2.276457	fixation
422.954842	1.874245	opponent
424.829087	2.565921	offer_start
427.395008	0.854320	offer_made
428.249328	2.565488	accepted
430.814815	2.182048	fixation
432.996863	1.384501	opponent
434.381365	3.049223	offer_start
437.430587	0.535103	offer_made
437.965691	2.499196	accepted
440.464886	0.683889	fixation
441.148776	1.698975	opponent
442.847751	1.916148	offer_start
444.763899	0.750740	offer_made
445.514639	2.849541	rejected
448.364180	2.126308	fixation
450.490488	1.307844	opponent
451.798332	2.531674	offer_start
454.330006	0.867945	offer_made
455.197952	2.099178	accepted
457.297130	1.116819	fixation
458.413949	1.500717	opponent
459.914667	2.131713	offer_start
462.046380	0.846848	offer_made
462.893228	2.283119	accepted
465.176347	2.246286	fixation
467.422633	1.886796	opponent
469.309429	1.849279	offer_start
471.158708	0.617481	offer_made
471.776189	2.833065	accepted
474.609254	1.735286	fixation
476.344540	1.918334	opponent
478.262874	1.449346	offer_start
479.712220	0.784143	offer_made
480.496363	2.817250	accepted
483.313613	0.926907	fixation
484.240519	1.422663	opponent
485.663182	2.215552	offer_start
487.878735	0.901121	offer_made
488.779855	2.200147	accepted
490.980002	1.187928	fixation
492.167931	1.111599	opponent
493.279530	2.215492	offer_start
495.495021	0.784098	offer_made
496.279120	2.132911	accepted
498.412031	1.512328	fixation
499.924359	1.887495	opponent
501.811854	2.627883	offer_start
504.439737	0.488898	offer_made
504.928634	2.799705	accepted
507.728339	1.464283	fixation
509.192622	1.352178	opponent
510.544801	3.378830	offer_start
513.923631	0.667431	offer_made
514.591062	2.699749	rejected
517.290811	2.290395	fixation
519.581206	1.292950	opponent
520.874156	1.648141	offer_start
522.522297	0.985044	offer_made
523.507340	2.584451	accepted
526.091791	1.378395	fixation
527.470186	1.291524	opponent
528.761710	1.514967	offer_start
530.276677	0.867639	offer_made
531.144316	2.182904	rejected
533.327220	2.095835	fixation
535.423055	1.170676	opponent
536.593732	2.283058	offer_start
538.876789	0.900880	offer_made
539.777669	2.716367	accepted
542.494036	1.541203	fixation
544.035239	1.791637	opponent
545.826876	2.182347	offer_start
548.009223	0.534473	offer_made
548.543696	2.899653	accepted
551.443350	0.950057	fixation
552.393407	1.399754	opponent
553.793161	2.532412	offer_start
556.325573	0.517498	offer_made
556.843071	2.749727	rejected
559.592798	1.683836	fixation
561.276635	1.166022	opponent
562.442657	2.828692	offer_start
565.271350	0.750939	offer_made
566.022288	2.849796	rejected
568.872085	2.461382	fixation
571.333467	1.638274	opponent
572.971740	4.166673	offer_start
577.138414	0.970866	offer_made
578.109280	2.216241	rejected
580.325521	1.348592	fixation
581.674113	1.684611	opponent
583.358723	3.281776	offer_start
586.640500	0.867919	offer_made
587.508418	2.949700	rejected
590.458118	1.611342	fixation
592.069459	1.938562	opponent
594.008021	0.915945	offer_start
594.923966	0.517563	offer_made
595.441530	2.567282	accepted
598.008812	1.609397	fixation
599.618209	1.889903	opponent
601.508113	3.916305	offer_start
605.424417	0.700946	offer_made
606.125363	2.699221	accepted
608.824585	0.577567	fixation
609.402151	1.788734	opponent
611.190885	3.045062	offer_start
614.235947	0.734374	offer_made
614.970321	2.366344	rejected
617.336665	1.878703	fixation
619.215367	1.154488	opponent
620.369855	1.248226	offer_start
621.618081	0.585081	offer_made
622.203162	2.316418	accepted
624.519580	2.295683	fixation
626.815263	1.458938	opponent
628.274201	1.964940	offer_start
630.239141	0.585012	offer_made
630.824152	2.000000	rejected
