onset	duration	trial_type
0.018581	2.100253	fixation
2.118834	1.330883	opponent
3.449717	2.432025	offer_start
5.881742	0.701405	offer_made
6.583148	2.820376	accepted
9.403524	1.059055	fixation
10.462579	1.591420	opponent
12.054000	1.981790	offer_start
14.035790	0.767926	offer_made
14.803716	2.249224	rejected
17.052940	1.176630	fixation
18.229570	1.106517	opponent
19.336086	1.949255	offer_start
21.285341	0.817555	offer_made
22.102896	2.633282	accepted
24.736177	1.649652	fixation
26.385829	1.616492	opponent
28.002321	2.065983	offer_start
30.068304	0.850741	offer_made
30.919045	2.983828	accepted
33.902873	1.004986	fixation
34.907858	1.077570	opponent
35.985428	1.616374	offer_start
37.601802	0.516857	offer_made
38.118660	2.433124	accepted
40.551783	1.297569	fixation
41.849352	1.735492	opponent
43.584845	2.762055	offer_start
46.346900	0.884133	offer_made
47.231033	2.966345	accepted
50.197378	0.952671	fixation
51.150048	1.113901	opponent
52.263949	2.132562	offer_start
54.396511	0.534147	offer_made
54.930659	2.517478	accepted
57.448136	2.265213	fixation
59.713349	1.470669	opponent
61.184018	2.833154	offer_start
64.017172	0.833765	offer_made
64.850938	2.516982	rejected
67.367920	1.265857	fixation
68.633777	1.116439	opponent
69.750216	2.499219	offer_start
72.249435	0.617737	offer_made
72.867173	2.749534	accepted
75.616707	1.027166	fixation
76.643873	1.422590	opponent
78.066463	0.282968	offer_start
78.349431	0.667209	offer_made
79.016640	2.384046	accepted
81.400686	1.925763	fixation
83.326449	1.689658	opponent
85.016107	2.049895	offer_start
87.066002	0.500974	offer_made
87.566976	2.415558	accepted
89.982534	1.103670	fixation
91.086204	1.162910	opponent
92.249114	3.116034	offer_start
95.365148	0.697014	offer_made
96.062163	2.382849	accepted
98.445011	2.081154	fixation
100.526166	1.368624	opponent
101.894790	2.899267	offer_start
104.794057	0.867419	offer_made
105.661475	2.200846	accepted
107.862321	2.132201	fixation
109.994522	1.921279	opponent
111.915800	1.731616	offer_start
113.647417	0.834081	offer_made
114.481497	2.833086	rejected
117.314583	2.079784	fixation
119.394367	1.153349	opponent
120.547716	3.065838	offer_start
123.613554	0.984968	offer_made
124.598522	2.882408	accepted
127.480930	1.711284	fixation
129.192214	1.138355	opponent
130.330568	3.666026	offer_start
133.996595	0.700805	offer_made
134.697399	2.816729	rejected
137.514128	2.136372	fixation
139.650500	1.296133	opponent
140.946633	5.012056	offer_start
145.958689	0.534085	offer_made
146.492774	2.133108	accepted
148.625882	1.896295	fixation
150.522177	1.470116	opponent
151.992293	1.699253	offer_start
153.691546	0.734161	offer_made
154.425707	2.049723	accepted
156.475429	2.282113	fixation
158.757542	1.538273	opponent
160.295815	2.549071	offer_start
162.844886	0.834741	offer_made
163.679627	2.800114	accepted
166.479740	2.319546	fixation
168.799286	1.962572	opponent
170.761858	1.466164	offer_start
172.228022	0.918243	offer_made
173.146264	2.982063	accepted
176.128328	1.620132	fixation
177.748459	1.446507	opponent
179.194966	2.282343	offer_start
181.477308	0.600414	offer_made
182.077722	2.900105	accepted
184.977827	1.677683	fixation
186.655510	1.823136	opponent
188.478647	1.649194	offer_start
190.127840	0.783348	offer_made
190.911188	2.649567	accepted
193.560755	0.733007	fixation
194.293762	1.596383	opponent
195.890145	2.965903	offer_start
198.856048	0.850791	offer_made
199.706839	2.966317	rejected
202.673155	2.079962	fixation
204.753118	1.553165	opponent
206.306282	2.616712	offer_start
208.922994	0.786922	offer_made
209.709915	2.117558	accepted
211.827473	2.274164	fixation
214.101637	1.474933	opponent
215.576570	2.482275	offer_start
218.058846	0.600851	offer_made
218.659697	2.616405	accepted
221.276102	0.620675	fixation
221.896778	1.579100	opponent
223.475877	2.283213	offer_start
225.759090	0.516858	offer_made
226.275948	2.183993	accepted
228.459941	0.803005	fixation
229.262946	1.179313	opponent
230.442259	2.799195	offer_start
233.241454	0.585026	offer_made
233.826480	2.632300	accepted
236.458780	1.093766	fixation
237.552546	1.522775	opponent
239.075321	2.937509	offer_start
242.012830	0.730027	offer_made
242.742857	2.432057	accepted
245.174914	0.791251	fixation
245.966165	1.471419	opponent
247.437584	2.432548	offer_start
249.870131	0.934136	offer_made
250.804267	2.199733	accepted
253.004000	1.686634	fixation
254.690634	1.613291	opponent
256.303925	2.450322	offer_start
258.754247	0.603599	offer_made
259.357847	2.066567	accepted
261.424413	0.746501	fixation
262.170914	1.120121	opponent
263.291035	5.015271	offer_start
268.306306	0.800910	offer_made
269.107217	2.050148	accepted
271.157365	2.396598	fixation
273.553963	1.703480	opponent
275.257443	3.381658	offer_start
278.639100	0.517807	offer_made
279.156907	2.932755	rejected
282.089662	2.510545	fixation
284.600207	1.839767	opponent
286.439974	2.482209	offer_start
288.922183	0.750831	offer_made
289.673014	2.382858	accepted
292.055872	0.825192	fixation
292.881064	1.008157	opponent
293.889221	4.478496	offer_start
298.367716	0.650897	offer_made
299.018613	2.316347	accepted
301.334961	1.495795	fixation
302.830756	1.621118	opponent
304.451874	1.848782	offer_start
306.300655	0.917523	offer_made
307.218178	2.850827	accepted
310.069005	1.279824	fixation
311.348829	1.422839	opponent
312.771668	2.199065	offer_start
314.970733	0.584157	offer_made
315.554890	2.316358	accepted
317.871248	2.354685	fixation
320.225933	1.095150	opponent
321.321083	4.265819	offer_start
325.586902	0.767693	offer_made
326.354595	2.982772	accepted
329.337367	1.113401	fixation
330.450768	1.386689	opponent
331.837457	1.965653	offer_start
333.803110	0.867695	offer_made
334.670805	2.099624	accepted
336.770428	0.936619	fixation
337.707047	1.329957	opponent
339.037004	2.099374	offer_start
341.136378	0.750794	offer_made
341.887172	2.167007	accepted
344.054179	0.964743	fixation
345.018921	1.880392	opponent
346.899313	5.015816	offer_start
351.915130	0.734332	offer_made
352.649462	2.099515	rejected
354.748977	2.048651	fixation
356.797628	1.718983	opponent
358.516612	2.251491	offer_start
360.768102	0.584128	offer_made
361.352230	2.283680	accepted
363.635910	0.823816	fixation
364.459726	1.176034	opponent
